Price_Total,Area,Price_Meter,Rooms,Floor_Live,Floor_Total,Zone,Neighborhood,Distance,Time
576060000,186.1,3094767,3,4,4,ЦАО,Тверской район,0.0,3.0
559180000,259.1,2158163,5,5,6,ЦАО,Басманный район,0.0,8.0
557900000,200.7,2779771,4,8,14,ЦАО,Якиманка,0.0,7.0
557584500,359.5,1551000,5,21,21,ЦАО,Пресненский район,4.2,7.0
557584500,359.5,1551000,5,21,21,ЦАО,Пресненский район,4.3,9.0
553790000,199.3,2778675,4,9,14,ЦАО,Якиманка,0.0,7.0
553770000,275.2,2012246,5,4,6,ЦАО,Тверской район,0.0,5.0
551590000,206.7,2668553,4,6,14,ЦАО,Якиманка,0.0,7.0
545460000,200.9,2715082,4,13,14,ЦАО,Якиманка,0.0,7.0
538830000,168.6,3195907,3,5,6,ЦАО,Хамовники,0.0,6.0
538830000,168.6,3195907,3,5,6,ЦАО,Хамовники,0.0,6.0
525025878,412.1,1274149,6,19,19,ЮАО,Даниловский район,4.0,23.0
522880000,204.7,2554372,4,5,8,ЦАО,Якиманка,0.0,7.0
519690000,116.5,4460858,2,8,8,ЦАО,Якиманка,0.0,7.0
512070000,200.9,2548880,4,12,14,ЦАО,Якиманка,0.0,7.0
509300000,201.9,2521911,3,3,3,ЦАО,Тверской район,0.0,3.0
507717045,192.3,2640921,3,2,6,ЦАО,Тверской район,0.0,5.0
491340000,259.4,1894140,5,4,6,ЦАО,Басманный район,0.0,8.0
491170000,198.4,2475655,4,5,14,ЦАО,Якиманка,0.0,7.0
467590000,201.0,2326318,4,10,14,ЦАО,Якиманка,0.0,7.0
466111587,165.8,2811288,3,6,6,ЦАО,Тверской район,0.0,5.0
465622675,471.5,987535,5,52,53,ЗАО,Раменки,6.8,25.0
463080000,162.4,2851478,3,12,14,ЦАО,Якиманка,0.0,7.0
459930000,207.6,2215462,3,3,6,ЦАО,Хамовники,0.0,6.0
459930000,207.6,2215462,3,3,6,ЦАО,Хамовники,0.0,6.0
457135000,247.1,1850000,4,21,21,ЦАО,Пресненский район,4.3,7.0
457135000,247.1,1850000,4,21,21,ЦАО,Пресненский район,4.3,9.0
